Epoch: 228, Loss A: 0.092983015, loss B: 0.06893099
Epoch: 229, Loss A: 0.09193535, loss B: 0.065189555
Epoch: 230, Loss A: 0.093983606, loss B: 0.06960195
Epoch: 231, Loss A: 0.093618065, loss B: 0.0680749
Epoch: 232, Loss A: 0.09434912, loss B: 0.065934345
Epoch: 233, Loss A: 0.09873162, loss B: 0.068785235
Epoch: 234, Loss A: 0.093857646, loss B: 0.06552489
Epoch: 235, Loss A: 0.088584825, loss B: 0.07223232
Epoch: 236, Loss A: 0.09044323, loss B: 0.06787395
Epoch: 237, Loss A: 0.09260589, loss B: 0.069790825
Epoch: 238, Loss A: 0.094464794, loss B: 0.0687966
Epoch: 239, Loss A: 0.08949074, loss B: 0.06546389
Epoch: 240, Loss A: 0.09336693, loss B: 0.069010064
Epoch: 241, Loss A: 0.091004774, loss B: 0.06686303
Epoch: 242, Loss A: 0.0925626, loss B: 0.06914306
Epoch: 243, Loss A: 0.10072489, loss B: 0.068875894
Epoch: 244, Loss A: 0.08679866, loss B: 0.068378136
Epoch: 245, Loss A: 0.08264348, loss B: 0.07179456
Epoch: 246, Loss A: 0.09709015, loss B: 0.065275565
Epoch: 247, Loss A: 0.094173186, loss B: 0.065410286
Epoch: 248, Loss A: 0.092778526, loss B: 0.06761189
Epoch: 249, Loss A: 0.10032286, loss B: 0.066003874
Epoch: 250, Loss A: 0.094757825, loss B: 0.06807648
Epoch: 251, Loss A: 0.09417025, loss B: 0.06580441
Epoch: 252, Loss A: 0.091528736, loss B: 0.066504344
Epoch: 253, Loss A: 0.09324581, loss B: 0.064788684
Epoch: 254, Loss A: 0.09450534, loss B: 0.066799134
Epoch: 255, Loss A: 0.09433221, loss B: 0.06601678
Epoch: 256, Loss A: 0.09232385, loss B: 0.06395848
Epoch: 257, Loss A: 0.097507834, loss B: 0.06534825
Epoch: 258, Loss A: 0.09379168, loss B: 0.07100989
Epoch: 259, Loss A: 0.09378584, loss B: 0.06614095
Epoch: 260, Loss A: 0.08552143, loss B: 0.065799
Epoch: 261, Loss A: 0.08830388, loss B: 0.06755608
Epoch: 262, Loss A: 0.09395518, loss B: 0.07172914
Epoch: 263, Loss A: 0.09888506, loss B: 0.065577924
Epoch: 264, Loss A: 0.088513866, loss B: 0.064639956
Epoch: 265, Loss A: 0.09183246, loss B: 0.0670831
Epoch: 266, Loss A: 0.09172825, loss B: 0.07511897
Epoch: 267, Loss A: 0.08900041, loss B: 0.06965706
Epoch: 268, Loss A: 0.086625665, loss B: 0.064664975
Epoch: 269, Loss A: 0.086964056, loss B: 0.06921388
Epoch: 270, Loss A: 0.11296446, loss B: 0.06423889
Epoch: 271, Loss A: 0.09781067, loss B: 0.06516345
Epoch: 272, Loss A: 0.09102704, loss B: 0.06503911
Epoch: 273, Loss A: 0.10082379, loss B: 0.07466743
Epoch: 274, Loss A: 0.09388531, loss B: 0.070248336
Epoch: 275, Loss A: 0.09039156, loss B: 0.067525655
Epoch: 276, Loss A: 0.08536811, loss B: 0.06741907
Epoch: 277, Loss A: 0.09288367, loss B: 0.0638206
Epoch: 278, Loss A: 0.0876724, loss B: 0.07171902
Epoch: 279, Loss A: 0.098239176, loss B: 0.06801239
Epoch: 280, Loss A: 0.09028756, loss B: 0.06466643
Epoch: 281, Loss A: 0.09076176, loss B: 0.06639154
Epoch: 282, Loss A: 0.098323464, loss B: 0.06809677
Epoch: 283, Loss A: 0.09194999, loss B: 0.06750822
Epoch: 284, Loss A: 0.09417714, loss B: 0.06666836
Epoch: 285, Loss A: 0.09480349, loss B: 0.06285396
Epoch: 286, Loss A: 0.08624231, loss B: 0.067577526
Epoch: 287, Loss A: 0.0965214, loss B: 0.0666223
Epoch: 288, Loss A: 0.095190555, loss B: 0.06686729
Epoch: 289, Loss A: 0.08671949, loss B: 0.06619855
Epoch: 290, Loss A: 0.090960346, loss B: 0.06622878
Epoch: 291, Loss A: 0.10146825, loss B: 0.06806728
Epoch: 292, Loss A: 0.08515546, loss B: 0.071019925
Epoch: 293, Loss A: 0.084972, loss B: 0.06419067
Epoch: 294, Loss A: 0.089536354, loss B: 0.06629914
Epoch: 295, Loss A: 0.08880462, loss B: 0.06007696
Epoch: 296, Loss A: 0.097761266, loss B: 0.06434165
